feature	accession_number	experiment_file	control_file
5fC	GSE40148	5fC_GSE40148.fastq.bed.sorted.bam	input_GSE40148.fastq.bed.sorted.bam
5hmC	GSE28682	5hmC_GSE28682.bed.sorted.bam	input_GSE28682.bed.sorted.bam
5mC	GSE28682	5mC_GSE28682.bed.sorted.bam	input_GSE28682.bed.sorted.bam
BRG1	GSE14344	BRG1_GSE14344.fastq.bed.sorted.bam	input_GSE14344.fastq.bed.sorted.bam
CBX3	GSE44242	CBX3_GSE44242.fastq.bed.sorted.bam	input_GSE44242.fastq.bed.sorted.bam
CBX7	GSE42466	CBX7_GSE42466.fastq.bed.sorted.bam	input_GSE42466_CBX7_RYBP.fastq.bed.sorted.bam
CDK9	GSE44286	CDK9_GSE44286.fastq.bed.sorted.bam	input_GSE44286.fastq.bed.sorted.bam
CMYC	GSE11431	CMYC_GSE11431.fastq.bed.sorted.bam	input_GSE11431.fastq.bed.sorted.bam
COREST	GSE27841	COREST_GSE27841.fastq.bed.sorted.bam	input_GSE27841.fastq.bed.sorted.bam
CTCF	GSE25777	CTCF_GSE25777.fastq.bed.sorted.bam	input_GSE25777.fastq.bed.sorted.bam
CTCF	GSE28247	CTCF_GSE28247.fastq.bed.sorted.bam	input_GSE28247.fastq.bed.sorted.bam
CTCF	GSE29184	CTCF_GSE29184.fastq.bed.sorted.bam	input_GSE29184.fastq.bed.sorted.bam
E2F1	GSE11431	E2F1_GSE11431.fastq.bed.sorted.bam	input_GSE11431.fastq.bed.sorted.bam
ESRRB	GSE11431	ESRRB_GSE11431.fastq.bed.sorted.bam	input_GSE11431.fastq.bed.sorted.bam
EZH2	GSE46536	EZH2_GSE46536.fastq.bed.sorted.bam	input_GSE46536.fastq.bed.sorted.bam
EZH2	GSE49431	EZH2_GSE49431.fastq.bed.sorted.bam	input_GSE49431.fastq.bed.sorted.bam
EZH2	GSE55697	EZH2_GSE55697.fastq.bed.sorted.bam	input_GSE55697.fastq.bed.sorted.bam
EZH2	GSE66830	EZH2_GSE66830.fastq.bed.sorted.bam	input_GSE66830.fastq.bed.sorted.bam
H2Aub1	GSE34518	H2AUB1_GSE34518.fastq.bed.sorted.bam	input_GSE34518.fastq.bed.sorted.bam
H2AZ	GSE36114	H2AZ_GSE36114.fastq.bed.sorted.bam	input_GSE36114.fastq.bed.sorted.bam
