gene	coord	190plus2_CAST	190plus2_129S1	190plus2_total	190plus2_CAST/all	190plus2_htseqCount
0610007P14Rik	chr12:85824471-85824545	101	57	158	0.639241	318
0610009B22Rik	chr11:51685385-51686092	9	7	16	0.5625	57
0610009O20Rik	chr18:38261880-38262629	176	163	339	0.519174	409
0610030E20Rik	chr6:72348997-72353160	9	10	19	0.473684	86
0610031J06Rik	chr3:88328203-88328631	44	41	85	0.517647	444
0610037L13Rik	chr4:107896871-107897802	28	16	44	0.636364	117
0610040F04Rik	chr6:108610218-108610621	9	7	16	0.5625	84
1110001J03Rik	chr6:38539159-38539449	15	16	31	0.483871	50
1110002L01Rik	chr12:3403883-3406711	11	12	23	0.478261	64
1110004E09Rik	chr16:90934582-90934849	20	12	32	0.625	122
1110004F10Rik	chr7:116104212-116105210	37	23	60	0.616667	325
1110008F13Rik	chr2:156873043-156873562	15	27	42	0.357143	253
1110008L16Rik	chr12:55382257-55382491	131	39	170	0.770588	345
1110012L19Rik	chrX:70388872-70389416	43	33	76	0.565789	85
1110034G24Rik	chr2:132750213-132751055	4	6	10	0.4	39
1110037F02Rik	chr4:11549545-11551143	77	74	151	0.509934	290
1110038B12Rik	chr17:34952352-34952471	116	159	275	0.421818	208
1110038F14Rik	chr15:76950249-76950731	105	102	207	0.507246	163
1110051M20Rik	chr2:91304749-91304833	21	13	34	0.617647	67
1110057K04Rik	chr12:8283900-8285759	22	22	44	0.5	124
1110058L19Rik	chr1:24003157-24003306	40	8	48	0.833333	58
1110059E24Rik	chr19:21597313-21598334	16	10	26	0.615385	161
1190002N15Rik	chr9:94517864-94520646	14	31	45	0.311111	125
1190005I06Rik	chr8:120608602-120609030	10	11	21	0.47619	33
1190007I07Rik	chr10:82619851-82620217	7	25	32	0.21875	63
1500004A13Rik	chr3:88822010-88825414	18	1	19	0.947368	101
1500009L16Rik	chr10:83761918-83762762	27	39	66	0.409091	102
1500011B03Rik	chr5:114813780-114813976	10	8	18	0.555556	87
1500012F01Rik	chr2:167065434-167065480	58	46	104	0.557692	287
1600002H07Rik	chr17:24220691-24220769	52	37	89	0.58427	167
1600012H06Rik	chr17:14943184-14945939	5	10	15	0.333333	166
1600014C10Rik	chr7:38194785-38197565	17	17	34	0.5	44
1600020E01Rik	chr6:86564276-86564449	13	13	26	0.5	44
1700007K13Rik	chr2:28466034-28466324	8	12	20	0.4	84
1700017B05Rik	chr9:57256386-57259140	15	20	35	0.428571	195
1700019D03Rik	chr1:52925127-52925734	2	22	24	0.0833333	60
1700021F05Rik	chr10:43532676-43533157	40	44	84	0.47619	107
1700021K19Rik	chr16:32825564-32825717	5	10	15	0.333333	131
1700025G04Rik	chr1:151884524-151893432	9	3	12	0.75	78
1700029P11Rik	chr15:81980540-81981563	42	74	116	0.362069	236
1700030C10Rik	chr12:20815346-20815779	21	101	122	0.172131	115
1700030K09Rik	chr8:72460029-72460541	60	28	88	0.681818	129
1700037H04Rik	chr2:131146325-131146975	82	52	134	0.61194	363
1700052N19Rik	chr10:4453472-4455140	103	74	177	0.581921	194
1700061G19Rik	chr17:56886441-56886687	40	35	75	0.533333	376
1700120C14Rik	chr15:99251788-99252001	7	8	15	0.466667	3
1700123I01Rik	chr19:6223521-6224219	26	18	44	0.590909	44
1700123O20Rik	chr14:54689804-54690742	15	23	38	0.394737	129
1810009A15Rik	chr19:8890411-8890759	46	41	87	0.528736	7
1810013L24Rik	chr16:8855794-8858924	13	17	30	0.433333	270
1810026B05Rik	chr7:73549597-73549652	15	16	31	0.483871	90
1810026J23Rik	chr9:21593150-21595970	23	24	47	0.489362	150
1810030O07Rik	chrX:12662650-12662829	22	96	118	0.186441	209
1810032O08Rik	chr11:116674300-116675798	83	73	156	0.532051	137
1810037I17Rik	chr3:122925479-122926194	16	37	53	0.301887	124
1810043H04Rik	chr11:120100174-120100424	6	4	10	0.6	28
1810055G02Rik	chr19:3716491-3717881	13	10	23	0.565217	104
1810058I24Rik	chr6:35261159-35262059	44	33	77	0.571429	254
2010107E04Rik	chr12:111963230-111963353	95	49	144	0.659722	409
