gene	coord	273plus1_CAST	273plus1_129S1	273plus1_total	273plus1_CAST/all	273plus1_htseqCount
0610007P14Rik	chr12:85824471-85824545	307	235	542	0.566421	875
0610009B22Rik	chr11:51685385-51686092	9	17	26	0.346154	174
0610009O20Rik	chr18:38261880-38262629	131	120	251	0.521912	283
0610030E20Rik	chr6:72348997-72353160	8	7	15	0.533333	94
0610031J06Rik	chr3:88328203-88328631	27	24	51	0.529412	317
0610037L13Rik	chr4:107896871-107897802	38	32	70	0.542857	244
1110001J03Rik	chr6:38539159-38539449	43	36	79	0.544304	127
1110002L01Rik	chr12:3407701-3407924	12	16	28	0.428571	109
1110004E09Rik	chr16:90934582-90934849	23	43	66	0.348485	232
1110004F10Rik	chr7:116104212-116105210	53	55	108	0.490741	577
1110007C09Rik	chr13:49208004-49208146	10	4	14	0.714286	64
1110008F13Rik	chr2:156873043-156873562	31	40	71	0.43662	431
1110008L16Rik	chr12:55382257-55382491	124	37	161	0.770186	322
1110012L19Rik	chrX:70388872-70389416	78	65	143	0.545455	263
1110032A03Rik	chr9:50767858-50768152	3	14	17	0.176471	16
1110034G24Rik	chr2:132750213-132751055	33	49	82	0.402439	82
1110037F02Rik	chr4:11549545-11551143	82	52	134	0.61194	297
1110038B12Rik	chr17:34952352-34952471	183	191	374	0.489305	271
1110038F14Rik	chr15:76950249-76950731	62	75	137	0.452555	112
1110051M20Rik	chr2:91304749-91304833	16	27	43	0.372093	82
1110057K04Rik	chr12:8283900-8285759	34	39	73	0.465753	151
1110058L19Rik	chr1:24003157-24003306	62	15	77	0.805195	104
1110059E24Rik	chr19:21597313-21598334	21	14	35	0.6	246
1190002N15Rik	chr9:94517864-94520646	25	31	56	0.446429	157
1190005I06Rik	chr8:120611194-120611337	11	10	21	0.52381	32
1190007I07Rik	chr10:82622965-82623228	28	33	61	0.459016	111
1500009L16Rik	chr10:83761918-83762762	19	29	48	0.395833	92
1500011B03Rik	chr5:114813780-114813976	38	30	68	0.558824	113
1500012F01Rik	chr2:167065434-167065480	146	89	235	0.621277	598
1500015A07Rik	chr18:61726390-61728253	6	18	24	0.25	53
1600002H07Rik	chr17:24219731-24220133	38	45	83	0.457831	183
1600012H06Rik	chr17:14943184-14945939	12	9	21	0.571429	186
1600020E01Rik	chr6:86532193-86532307	5	9	14	0.357143	19
1700007K13Rik	chr2:28466034-28466324	8	13	21	0.380952	70
1700013H16Rik	chrX:53751510-53751856	27	12	39	0.692308	90
1700019D03Rik	chr1:52952615-52952840	7	77	84	0.0833333	105
1700019L03Rik	chr2:32777413-32777569	4	6	10	0.4	18
1700020I14Rik	chr2:119599588-119600744	12	12	24	0.5	144
1700021F05Rik	chr10:43532676-43533157	99	77	176	0.5625	202
1700025G04Rik	chr1:152006545-152006767	33	13	46	0.717391	103
1700028K03Rik	chr5:107549085-107551542	5	3	8	0.625	40
1700029P11Rik	chr15:81980540-81981563	20	72	92	0.217391	191
