Chromosomes	Start	End	Genes	halftime	Strand	RPKM	initial_ratio	RSS
chrX	70385877	70389417	1110012L19Rik	0.714401801765071	+	11.504676128523	0.540803	0.314540219942766
chrX	53742901	53757831	1700013H16Rik	0.728865753136848	-	92.5535699784037	0.436928	0.153119990512256
chrX	153723590	153741920	2210013O21Rik	0.687507385385209	+	2.80221944012698	0.4608685	0.102088263537006
chrX	107782751	107816334	2610002M06Rik	0.74067816196118	-	0.453677086482229	0.5997665	0.343963614091057
chrX	64173548	64178778	3830417A13Rik	1.32341676202352	+	0.878890165263179	0.35535	0.245454240013974
chrX	53724826	53738441	4930502E18Rik	0.613544981255875	+	9.42033978954082	0.5412285	0.157027247542672
chrX	103182971	103311782	4930519F16Rik	0.545735951724076	-	1.55259867600365	0.628403	0.0917713549603172
chrX	75706932	75764699	4933407K13Rik	0.452377716372084	-	1.14502388260985	0.563018	0.378786469368545
chrX	105037197	105079609	5530601H04Rik	0.73229293743051	-	0.804011715482248	0.4882125	0.256197956772184
chrX	13042015	13045297	5730405O15Rik	0.826942128808969	+	0.674739540066658	0.526901	0.414346697729926
chrX	101794656	101798642	8030474K03Rik	0.389549603490033	+	3.09463887670868	0.510754	0.167662145483495
chrX	20961684	20986737	A230072C01Rik	1.53682289483997	+	3.6961759739618	0.3166815	0.303543282760678
chrX	159526688	159593081	A830080D01Rik	1.24728155199005	+	7.24594409042799	0.5793435	0.15614324484001
chrX	12936872	12938128	AA414768	0.804418634323795	+	5.2209298693403	0.402077	0.175981326490595
chrX	93968659	93975470	AU015836	0.771505270388851	+	5.66225817912925	0.5439325	0.173152230883791
chrX	6081219	6083419	AU022751	2.76106585399554	-	1.36144811534606	0.4845085	0.169236172214492
chrX	104280657	104413856	Abcb7	0.467372428537091	-	11.6983154163752	0.5482535	0.206396171972616
chrX	73716597	73738534	Abcd1	1.36253951166506	+	1.3620495851445	0.4307935	0.0827814176286845
chrX	155262443	155297654	Acot9	0.993002533444246	+	19.0402868327116	0.60018	0.215404029498491
chrX	142317993	142390535	Acsl4	0.501596876411258	-	8.6804491479237	0.4859155	0.449580472516514
chrX	48474944	48513563	Aifm1	0.415689512328867	-	0.534203126748777	0.5434325	0.448113621754617
chrX	36608314	36645395	Akap17b	0.846504128438189	-	0.854836913330987	0.5054685	0.14425989220278
chrX	144317804	144374450	Alg13	0.649630469854513	+	48.951487283752	0.4138715	0.28500906548116
chrX	95420318	95444872	Amer1	0.359812859241989	-	1.76956995758403	0.403938	0.298726119407873
chrX	142851146	142966728	Ammecr1	1.00786679187603	-	4.34838642084154	0.6110905	0.280673750391365
chrX	145446425	145505181	Amot	0.728098197756712	-	0.564722314082162	0.4101565	0.311468379084876
chrX	150519519	150589868	Apex2	0.286623421526186	-	2.45167191115701	0.5311215	0.089684428939052
chrX	48025146	48034853	Apln	1.29274198775732	-	1.32861070571616	0.545296	0.594499108610777
chrX	20797814	20860519	Araf	2.18099156254616	+	2.89235931805419	0.495695	0.153619244639898
