Chromosomes	Start	End	Genes	halftime	Strand	RPKM	initial_ratio	RSS
chrX	70385877	70389417	1110012L19Rik	0.508186952348729	+	0.411492	0.564557	0.0560558184028458
chrX	53742901	53757831	1700013H16Rik	0.737691670251411	-	0.3049885	0.45092	0.356252215693678
chrX	153723590	153741920	2210013O21Rik	0.542253006905792	+	0.3555195	0.505525	0.1111022256368
chrX	107782751	107816334	2610002M06Rik	0.354052995969653	-	0.4833335	0.666667	0.205679971996748
chrX	64173548	64178778	3830417A13Rik	0.90061758449738	+	0.320068	0.459184	0.618543258533143
chrX	53724826	53738441	4930502E18Rik	0.832487960712282	+	0.399552	0.557725	0.322623343837265
chrX	103182971	103311782	4930519F16Rik	0.917719011148364	-	0.492583	0.55102	0.567870055221787
chrX	58909360	58920304	4930550L24Rik	1.30462639770266	+	0.498706	0.587156	0.696902871102396
chrX	75706932	75764699	4933407K13Rik	0.356187722130977	-	0.3733435	0.533248	0.254904295135572
chrX	105037197	105079609	5530601H04Rik	2.6320896393305	-	0.3930315	0.422018	0.907909959749515
chrX	101794656	101798642	8030474K03Rik	0.393132325134561	+	0.344646	0.512821	0.170712133025395
chrX	20961684	20986737	A230072C01Rik	0.522715721823008	+	0.2511505	0.386139	0.587669130776855
chrX	159526688	159593081	A830080D01Rik	0.890788527509252	+	0.479074	0.565474	0.229711930322197
chrX	12936872	12938128	AA414768	1.20676937920006	+	0.310207	0.396907	0.756192219170444
chrX	93968659	93975470	AU015836	0.707276216672399	+	0.13858075	0.540806	0.4388679564082
chrX	6081219	6083419	AU022751	0.690293360823235	-	0.472871	0.503817	0.46730449553407
chrX	104280657	104413856	Abcb7	0.516789759055615	-	0.3845655	0.578972	0.109681537014245
chrX	73716597	73738534	Abcd1	1.00037173623752	+	0.386237	0.440838	0.377968665907282
chrX	155262443	155297654	Acot9	0.609045070622608	+	0.425765	0.409756	0.17247557050063
chrX	142317993	142390535	Acsl4	0.435973744111591	-	0.2983385	0.545946	0.285087622631975
chrX	160390690	160498070	Adgrg2	0.281850166006309	+	0.259756	0.550104	0.193644666410356
chrX	36608314	36645395	Akap17b	0.49416989968569	-	0.3890445	0.503811	0.105566212591917
chrX	144317804	144374450	Alg13	0.787012537460193	+	0.4421445	0.4208	0.193873958144003
chrX	95420318	95444872	Amer1	0.406473762983077	-	0.3484245	0.382749	0.247155583408003
chrX	142851146	142966728	Ammecr1	0.629601903542589	-	0.2986125	0.573854	0.168368209668144
chrX	145446425	145505181	Amot	0.411630942562079	-	0.2656105	0.486747	0.167959671820574
chrX	150519519	150589868	Apex2	0.439504751003899	-	0.3647315	0.510549	0.311525328046549
chrX	48025146	48034853	Apln	0.40793629033398	-	0.3207215	0.556863	0.668540806412684
chrX	20797814	20860519	Araf	1.42694249011945	+	0.4536285	0.479894	0.148491622967014
chrX	73891442	73921870	Arhgap4	0.695492715377207	-	0.410139	0.529061	0.220449268404079
chrX	134717963	134721917	Armcx1	0.372049014584096	+	0.2961655	0.538596	0.381998226724383
chrX	134804145	134809221	Armcx2	0.262526808402941	-	0.2867527	0.476064	0.428890741269962
chrX	134686519	134696757	Armcx4	0.35285863159141	+	0.3335005	0.411765	0.389188897757227
chrX	135742733	135747322	Armcx5	0.517541371493308	+	0.373167	0.535194	0.370291496487684
chrX	134748461	134751417	Armcx6	0.720753908301216	-	0.277311	0.571765	1.33890620433849
chrX	136033367	136034946	Arxes1	0.49093969530542	+	0.373626	0.205607	0.351015030069938
chrX	135993824	135995355	Arxes2	0.418022039634836	+	0.3969935	0.520968	0.277046894963411
chrX	164436994	164459170	Asb11	0.879861188451062	+	0.1137925	0.491803	1.41145093427855
chrX	60223290	60592698	Atp11c	1.06297293269593	-	0.419184	0.515967	0.368905419585895
chrX	74297097	74304721	Atp6ap1	0.779665889544385	+	0.3865265	0.483191	0.365438488389099
chrX	12587801	12617049	Atp6ap2	2.61239106090568	+	0.4769345	0.232313	0.351917991996663
chrX	105797615	105929403	Atrx	0.578713535835164	-	0.3528685	0.580357	0.141798209765132
chrX	8892382	8894964	B630019K06Rik	3.46573590279973	+	0.41886	0.421053	0.501806610476674
chrX	169368189	169370003	BC022960	0.832591727209709	+	0.410936	0.522727	0.38849399099383
chrX	70459753	70477180	BC023829	0.610278781582966	-	0.3905815	0.542169	0.206274394425721
chrX	136741824	136803364	BC065397	0.450692206863844	+	0.2703845	0.39434	0.125838187036825
chrX	73686178	73716175	Bcap31	1.00937523061514	-	0.446952	0.544452	0.138120237769666
chrX	12036740	12160355	Bcor	1.126488172513	-	0.301218	0.383171	0.555765901145739
chrX	48341358	48408049	Bcorl1	0.886212503733548	+	0.3310465	0.454039	0.758186467098587
chrX	136213972	136215513	Bex1	0.219835791157689	-	0.3240615	0.424242	0.437278807109954
chrX	136066564	136068236	Bex2	0.866273377642036	-	0.2694485	0.393736	0.50722903023531
chrX	135797594	135891081	Bhlhb9	0.601934071983282	+	0.3790915	0.510984	0.174220611792
chrX	75416628	75454001	Brcc3	1.37644645765561	+	0.4673875	0.530954	0.0831252118511484
chrX	108737016	108834372	Brwd3	0.789977621020481	-	0.4093515	0.516594	0.1871063079845
chrX	104077434	104201185	C77370	0.328635997919433	-	0.366968	0.570053	0.195215859058337
chrX	13517080	13851367	Cask	1.69590849697713	-	0.427344	0.481506	0.271119325024071
chrX	7731714	7750905	Ccdc120	0.798450653378821	-	0.391906	0.507812	0.456059580927009
