gene	coord	86minua2_CAST	86minua2_129S1	86minua2_total	86minua2_CAST/all	86minua2_htseqCount
0610007P14Rik	chr12:85824471-85824545	278	162	440	0.631818	745
0610009B22Rik	chr11:51685385-51686092	7	13	20	0.35	127
0610009O20Rik	chr18:38261880-38262629	115	99	214	0.537383	273
0610010F05Rik	chr11:23628873-23629031	23	21	44	0.522727	203
0610031J06Rik	chr3:88328203-88328631	22	27	49	0.44898	310
0610037L13Rik	chr4:107896871-107897802	57	47	104	0.548077	237
0610039K10Rik	chr2:163644850-163645800	7	3	10	0.7	3
0610040F04Rik	chr6:108610218-108610621	5	3	8	0.625	37
1110001J03Rik	chr6:38539159-38539449	20	18	38	0.526316	67
1110004E09Rik	chr16:90934582-90934849	34	35	69	0.492754	190
1110004F10Rik	chr7:116104212-116105210	80	72	152	0.526316	798
1110007C09Rik	chr13:49208004-49208146	11	6	17	0.647059	56
1110008F13Rik	chr2:156873043-156873562	29	55	84	0.345238	459
1110008L16Rik	chr12:55382257-55382491	135	37	172	0.784884	401
1110012L19Rik	chrX:70388872-70389416	90	35	125	0.72	246
1110034G24Rik	chr2:132750213-132751055	21	44	65	0.323077	61
1110037F02Rik	chr4:11549545-11551143	142	88	230	0.617391	523
1110038B12Rik	chr17:34952352-34952471	183	317	500	0.366	340
1110038F14Rik	chr15:76950249-76950731	63	54	117	0.538462	99
1110051M20Rik	chr2:91279190-91279253	15	16	31	0.483871	81
1110057K04Rik	chr12:8283900-8285759	68	41	109	0.623853	233
1110058L19Rik	chr1:24003157-24003306	59	30	89	0.662921	95
1110059E24Rik	chr19:21597313-21598334	29	14	43	0.674419	363
1190002N15Rik	chr9:94537219-94538081	87	62	149	0.583893	304
1190007I07Rik	chr10:82622965-82623228	30	43	73	0.410959	96
1500004A13Rik	chr3:88822010-88825414	14	0	14	1	45
1500009L16Rik	chr10:83761918-83762762	19	22	41	0.463415	64
1500011B03Rik	chr5:114813780-114813976	17	24	41	0.414634	80
1500012F01Rik	chr2:167065434-167065480	91	58	149	0.610738	455
1500015A07Rik	chr18:61726390-61728253	9	14	23	0.391304	53
1600002H07Rik	chr17:24219731-24220133	26	31	57	0.45614	137
1600012H06Rik	chr17:14943184-14945939	8	10	18	0.444444	212
1600020E01Rik	chr6:86564276-86564449	11	14	25	0.44	29
1700007K13Rik	chr2:28466034-28466324	6	5	11	0.545455	70
1700013H16Rik	chrX:53751510-53751856	241	104	345	0.698551	723
1700017B05Rik	chr9:57256386-57259140	14	12	26	0.538462	157
1700019B21Rik	chrX:62510539-62510998	4	8	12	0.333333	14
1700019D03Rik	chr1:52952615-52952840	7	29	36	0.194444	70
1700020I14Rik	chr2:119599588-119600744	9	6	15	0.6	157
1700021F05Rik	chr10:43532676-43533157	87	66	153	0.568627	201
1700025G04Rik	chr1:151884524-151893432	11	4	15	0.733333	93
1700029P11Rik	chr15:81980540-81981563	31	74	105	0.295238	186
1700030C10Rik	chr12:20815346-20815779	22	17	39	0.564103	56
1700030K09Rik	chr8:72460029-72460541	61	27	88	0.693182	148
1700037H04Rik	chr2:131146325-131146975	75	62	137	0.547445	415
1700052N19Rik	chr10:4453472-4455140	72	89	161	0.447205	254
1700061G19Rik	chr17:56886441-56886687	22	16	38	0.578947	166
1700066M21Rik	chr1:57382743-57385422	9	6	15	0.6	90
1700095A21Rik	chr4:146519039-146519927	27	1	28	0.964286	19
1700120C14Rik	chr15:99251788-99252001	12	15	27	0.444444	6
1700123O20Rik	chr14:54689804-54690742	46	60	106	0.433962	189
1810009A15Rik	chr19:8890411-8890759	112	90	202	0.554455	27
1810013L24Rik	chr16:8855794-8858924	19	18	37	0.513514	294
1810026B05Rik	chr7:73549597-73549652	20	14	34	0.588235	104
1810026J23Rik	chr9:21593150-21595970	40	43	83	0.481928	182
1810030O07Rik	chrX:12669527-12669646	24	124	148	0.162162	297
1810032O08Rik	chr11:116674300-116675798	105	102	207	0.507246	206
1810037I17Rik	chr3:122925479-122926194	83	125	208	0.399038	428
1810043H04Rik	chr11:120100174-120100424	7	8	15	0.466667	58
1810055G02Rik	chr19:3716491-3717881	18	13	31	0.580645	117
1810058I24Rik	chr6:35261159-35262059	27	37	64	0.421875	235
2010012O05Rik	chr19:46701515-46703382	9	6	15	0.6	53
2010107E04Rik	chr12:111963230-111963353	254	129	383	0.663185	1002
2010107G23Rik	chr10:62107656-62109123	13	11	24	0.541667	58
2010111I01Rik	chr13:63298712-63302877	13	20	33	0.393939	135
2010315B03Rik	chr9:124291804-124294101	0	30	30	0	40
2010320M18Rik	chr8:70776862-70777606	24	12	36	0.666667	49
2200002D01Rik	chr7:29247897-29247965	0	8	8	0	27
2210013O21Rik	chrX:153723554-153723937	20	0	20	1	76
2210015D19Rik	chr11:5783892-5784710	32	45	77	0.415584	45
2210016F16Rik	chr13:58384824-58385225	20	61	81	0.246914	173
2210016L21Rik	chr5:114947682-114948540	27	27	54	0.5	170
2210018M11Rik	chr7:98594752-98595312	34	24	58	0.586207	198
2210039B01Rik	chr12:73551156-73551986	97	21	118	0.822034	33
2210409E12Rik	chr11:88972638-88973014	310	49	359	0.86351	392
2310009A05Rik	chr9:73042432-73042775	5	15	20	0.25	24
2310011J03Rik	chr10:80320183-80320548	12	8	20	0.6	129
2310022A10Rik	chr7:27580337-27582098	39	31	70	0.557143	182
2310022B05Rik	chr8:124662848-124663369	181	47	228	0.79386	224
2310033P09Rik	chr11:59209973-59210104	7	2	9	0.777778	59
2310035C23Rik	chr1:105753503-105755131	12	11	23	0.521739	275
2310039H08Rik	chr17:46772635-46773407	7	2	9	0.777778	26
2310045N01Rik	chr8:70145811-70145890	11	1	12	0.916667	90
2310067B10Rik	chr11:115798275-115799033	25	33	58	0.431034	198
2410002F23Rik	chr7:44250613-44252319	149	178	327	0.455657	617
2410003L11Rik	chr11:97622607-97622893	18	55	73	0.246575	73
2410004B18Rik	chr3:145938032-145938328	6	3	9	0.666667	93
2410004N09Rik	chr18:33795853-33795989	158	167	325	0.486154	154
2410006H16Rik	chr11:62604655-62604806	296	429	725	0.408276	882
2410007B07Rik	chr3:75655390-75655731	30	123	153	0.196078	271
2410015M20Rik	chr17:56608638-56608692	65	43	108	0.601852	254
2410016O06Rik	chr12:83950608-83952953	82	37	119	0.689076	271
2410088K16Rik	chr1:88755534-88755733	30	15	45	0.666667	24
2410089E03Rik	chr15:8270679-8271158	23	33	56	0.410714	190
2410127L17Rik	chr19:18691417-18691595	68	72	140	0.485714	645
2410131K14Rik	chr5:118255670-118255826	7	10	17	0.411765	48
2510002D24Rik	chr16:18839090-18840113	17	38	55	0.309091	57
2510003E04Rik	chr10:62558470-62559883	20	18	38	0.526316	147
2510009E07Rik	chr16:21649045-21653758	12	5	17	0.705882	113
2510039O18Rik	chr4:147946601-147947314	101	91	192	0.526042	383
2610001J05Rik	chr6:13869074-13870740	49	71	120	0.408333	122
2610002J02Rik	chr4:155256135-155256687	27	16	43	0.627907	39
2610020H08Rik	chr7:119825536-119825638	3	15	18	0.166667	56
2610301B20Rik	chr4:10897899-10899423	66	97	163	0.404908	211
2610305D13Rik	chr4:147615280-147615406	134	23	157	0.853503	1931
2610318N02Rik	chr16:17113398-17113626	7	2	9	0.777778	118
2610507B11Rik	chr11:78289804-78290625	283	275	558	0.507168	1861
2610524H06Rik	chr5:114823313-114823468	61	81	142	0.429577	126
2700029M09Rik	chr8:60905548-60905720	88	55	143	0.615385	454
2700038G22Rik	chr5:23853767-23855033	23	86	109	0.211009	74
2700049A03Rik	chr12:71242944-71243303	81	54	135	0.6	224
2700060E02Rik	chr14:19822566-19822690	247	224	471	0.524416	1994
2700062C07Rik	chr18:24477269-24477767	18	22	40	0.45	122
2700081O15Rik	chr19:7422643-7425904	3	9	12	0.25	126
