gene	coord	109minus2_CAST	109minus2_129S1	109minus2_total	109minus2_CAST/all	109minus2_htseqCount
0610007P14Rik	chr12:85824471-85824545	227	127	354	0.641243	600
0610009B22Rik	chr11:51685385-51686092	6	10	16	0.375	102
0610009O20Rik	chr18:38261880-38262629	78	66	144	0.541667	214
0610010F05Rik	chr11:23573776-23575517	8	7	15	0.533333	92
0610031J06Rik	chr3:88328203-88328631	42	27	69	0.608696	296
0610037L13Rik	chr4:107896871-107897802	73	53	126	0.579365	246
1110001J03Rik	chr6:38539159-38539449	23	28	51	0.45098	76
1110004E09Rik	chr16:90934582-90934849	33	29	62	0.532258	209
1110004F10Rik	chr7:116104212-116105210	58	56	114	0.508772	609
1110007C09Rik	chr13:49208004-49208146	5	4	9	0.555556	21
1110008F13Rik	chr2:156873043-156873562	49	49	98	0.5	575
1110008L16Rik	chr12:55382257-55382491	147	45	192	0.765625	374
1110012L19Rik	chrX:70388872-70389416	76	50	126	0.603175	177
1110034G24Rik	chr2:132750213-132751055	22	63	85	0.258824	69
1110037F02Rik	chr4:11549545-11551143	38	43	81	0.469136	275
1110038B12Rik	chr17:34952352-34952471	221	296	517	0.427466	405
1110038F14Rik	chr15:76950249-76950731	97	67	164	0.591463	119
1110051M20Rik	chr2:91304749-91304833	21	13	34	0.617647	84
1110057K04Rik	chr12:8283900-8285759	61	63	124	0.491935	217
1110058L19Rik	chr1:24003157-24003306	41	18	59	0.694915	75
1110059E24Rik	chr19:21597313-21598334	23	24	47	0.489362	248
1190002N15Rik	chr9:94517864-94520646	39	48	87	0.448276	190
1190005I06Rik	chr8:120628472-120628517	8	19	27	0.296296	36
1190007I07Rik	chr10:82622965-82623228	17	31	48	0.354167	113
1500004A13Rik	chr3:88822010-88825414	19	0	19	1	70
1500009L16Rik	chr10:83761918-83762762	11	17	28	0.392857	66
1500011B03Rik	chr5:114813780-114813976	44	28	72	0.611111	103
1500012F01Rik	chr2:167065434-167065480	85	65	150	0.566667	439
1600002H07Rik	chr17:24219731-24220133	32	25	57	0.561404	131
1600012H06Rik	chr17:14943184-14945939	8	12	20	0.4	176
1600020E01Rik	chr6:86564276-86564449	10	11	21	0.47619	53
1700007K13Rik	chr2:28466034-28466324	8	14	22	0.363636	68
1700013H16Rik	chrX:53751510-53751856	44	22	66	0.666667	124
1700017B05Rik	chr9:57256386-57259140	5	22	27	0.185185	85
1700019D03Rik	chr1:52925127-52925734	3	29	32	0.09375	60
1700020I14Rik	chr2:119599588-119600744	6	7	13	0.461538	107
1700021F05Rik	chr10:43532676-43533157	100	97	197	0.507614	234
1700025G04Rik	chr1:151884524-151893432	7	7	14	0.5	52
1700028K03Rik	chr5:107549085-107551542	7	7	14	0.5	38
1700029P11Rik	chr15:81980540-81981563	42	119	161	0.26087	331
1700030C10Rik	chr12:20815346-20815779	25	25	50	0.5	61
1700030K09Rik	chr8:72460029-72460541	29	12	41	0.707317	127
1700037H04Rik	chr2:131146325-131146975	101	50	151	0.668874	416
1700052N19Rik	chr10:4453472-4455140	78	82	160	0.4875	191
1700061G19Rik	chr17:56886441-56886687	33	28	61	0.540984	240
1700095A21Rik	chr4:146519039-146519927	14	3	17	0.823529	7
1700120C14Rik	chr15:99251788-99252001	6	10	16	0.375	1
1700123O20Rik	chr14:54689804-54690742	31	29	60	0.516667	168
1810009A15Rik	chr19:8890411-8890759	97	88	185	0.524324	14
1810013L24Rik	chr16:8855794-8858924	21	18	39	0.538462	226
1810026B05Rik	chr7:73549597-73549652	17	30	47	0.361702	91
1810026J23Rik	chr9:21593150-21595970	37	59	96	0.385417	148
1810030O07Rik	chrX:12669527-12669646	14	122	136	0.102941	237
1810032O08Rik	chr11:116674300-116675798	110	107	217	0.506912	198
1810037I17Rik	chr3:122925479-122926194	80	116	196	0.408163	408
1810043H04Rik	chr11:120100174-120100424	10	6	16	0.625	80
1810055G02Rik	chr19:3716491-3717881	7	9	16	0.4375	74
1810058I24Rik	chr6:35261159-35262059	37	39	76	0.486842	312
2010012O05Rik	chr19:46701515-46703382	5	6	11	0.454545	47
2010107E04Rik	chr12:111963230-111963353	314	154	468	0.67094	1373
2010107G23Rik	chr10:62107656-62109123	15	7	22	0.681818	60
2010111I01Rik	chr13:63298712-63302877	8	17	25	0.32	98
2010315B03Rik	chr9:124291804-124294101	3	18	21	0.142857	25
2010320M18Rik	chr8:70776862-70777606	41	18	59	0.694915	88
2200002D01Rik	chr7:29247897-29247965	12	11	23	0.521739	40
2210013O21Rik	chrX:153723554-153723937	22	0	22	1	83
2210015D19Rik	chr11:5783892-5784710	22	29	51	0.431373	49
2210016F16Rik	chr13:58384824-58385225	5	38	43	0.116279	142
2210016L21Rik	chr5:114947682-114948540	33	28	61	0.540984	204
2210018M11Rik	chr7:98594752-98595312	17	10	27	0.62963	107
2210039B01Rik	chr12:73551156-73551986	18	23	41	0.439024	43
2210409E12Rik	chr11:88972638-88973014	244	29	273	0.893773	291
2310009A05Rik	chr9:73042432-73042775	33	26	59	0.559322	36
2310011J03Rik	chr10:80320183-80320548	16	37	53	0.301887	154
2310022A10Rik	chr7:27580337-27582098	48	49	97	0.494845	217
2310022B05Rik	chr8:124639091-124639615	49	19	68	0.720588	107
2310033P09Rik	chr11:59210227-59210734	8	7	15	0.533333	82
2310035C23Rik	chr1:105753503-105755131	11	10	21	0.52381	189
2310039H08Rik	chr17:46772635-46773407	11	9	20	0.55	32
2310067B10Rik	chr11:115798275-115799033	12	11	23	0.521739	103
2410002F23Rik	chr7:44250613-44252319	118	138	256	0.460938	533
2410003L11Rik	chr11:97622607-97622893	17	56	73	0.232877	80
2410004N09Rik	chr18:33795853-33795989	176	190	366	0.480874	207
2410006H16Rik	chr11:62604655-62604806	253	310	563	0.449378	727
2410007B07Rik	chr3:75655390-75655731	33	125	158	0.208861	252
2410015M20Rik	chr17:56608638-56608692	69	41	110	0.627273	277
2410016O06Rik	chr12:83950608-83952953	79	13	92	0.858696	271
2410088K16Rik	chr1:88755534-88755733	61	35	96	0.635417	51
2410089E03Rik	chr15:8270679-8271158	29	32	61	0.47541	99
2410127L17Rik	chr19:18691417-18691595	39	51	90	0.433333	497
2410137M14Rik	chr17:36978651-36978933	6	12	18	0.333333	37
2510002D24Rik	chr16:18839090-18840113	8	17	25	0.32	39
2510003E04Rik	chr10:62558470-62559883	26	28	54	0.481481	143
2510039O18Rik	chr4:147946601-147947314	71	61	132	0.537879	282
2610001J05Rik	chr6:13869074-13870740	46	50	96	0.479167	99
2610002J02Rik	chr4:155256135-155256687	21	15	36	0.583333	49
2610015P09Rik	chr16:43963268-43964314	3	12	15	0.2	58
2610044O15Rik8	chr8:129216354-129217749	3	5	8	0.375	63
2610301B20Rik	chr4:10897899-10899423	21	44	65	0.323077	103
2610305D13Rik	chr4:147615280-147615406	104	25	129	0.806202	1660
2610318N02Rik	chr16:17113398-17113626	10	3	13	0.769231	155
2610507B11Rik	chr11:78289804-78290625	180	146	326	0.552147	1160
2610524H06Rik	chr5:114823313-114823468	45	150	195	0.230769	155
2700029M09Rik	chr8:60905548-60905720	68	57	125	0.544	380
2700038G22Rik	chr5:23853767-23855033	21	104	125	0.168	60
2700049A03Rik	chr12:71242944-71243303	46	27	73	0.630137	132
2700060E02Rik	chr14:19822566-19822690	264	278	542	0.487085	1971
2700062C07Rik	chr18:24477269-24477767	31	22	53	0.584906	106
2700081O15Rik	chr19:7422643-7425904	10	3	13	0.769231	112
2700097O09Rik	chr12:55079981-55080110	12	9	21	0.571429	152
2700099C18Rik	chr17:94774892-94775129	4	7	11	0.363636	73
2810004N23Rik	chr8:124860946-124861271	514	301	815	0.630675	726
2810008D09Rik	chr11:117078776-117078955	78	121	199	0.39196	106
2810013P06Rik	chr8:123042575-123044602	22	9	31	0.709677	93
2810025M15Rik	chr1:157419869-157420236	127	137	264	0.481061	427
2810403A07Rik	chr3:88711630-88712933	7	16	23	0.304348	194
2810408I11Rik	chr1:64690464-64690659	9	13	22	0.409091	44
2810408M09Rik	chr2:165490112-165491711	45	54	99	0.454545	72
2810417H13Rik	chr9:65893372-65893534	10	18	28	0.357143	84
2810428I15Rik	chr8:70506662-70506739	48	30	78	0.615385	366
2810474O19Rik	chr6:149334592-149335663	54	34	88	0.613636	729
2900011O08Rik	chr16:14099793-14101494	9	18	27	0.333333	40
2900041M22Rik	chr11:117612262-117613417	13	34	47	0.276596	38
2900076A07Rik	chr7:81531211-81531498	15	2	17	0.882353	12
2900097C17Rik	chr2:156388063-156392979	7	15	22	0.318182	463
3010026O09Rik	chr11:50199536-50200115	4	11	15	0.266667	74
3110002H16Rik	chr18:12178188-12178274	4	4	8	0.5	101
3110040N11Rik	chr7:81789355-81789453	64	45	109	0.587156	122
3110043O21Rik	chr4:35191282-35193068	12	5	17	0.705882	69
3110082I17Rik	chr5:139460469-139460534	167	153	320	0.521875	228
4632415L05Rik	chr3:19894871-19898984	4	7	11	0.363636	46
4833420G17Rik	chr13:119485727-119486117	113	70	183	0.617486	191
4833439L19Rik	chr13:54565182-54565382	113	163	276	0.40942	307
4921524J17Rik	chr8:85408759-85409890	12	9	21	0.571429	158
4930404N11Rik	chr10:81364542-81364667	7	5	12	0.583333	55
4930414L22Rik	chr6:72438683-72440615	25	32	57	0.438596	58
4930427A07Rik	chr12:113163053-113165458	88	49	137	0.642336	189
4930444M15Rik	chr14:76515878-76516352	18	23	41	0.439024	37
4930447C04Rik	chr12:72916674-72916730	14	42	56	0.25	124
4930452B06Rik	chr14:8558034-8558190	14	14	28	0.5	71
4930453N24Rik	chr16:64768924-64769162	26	32	58	0.448276	259
4930461G14Rik	chr9:58469145-58469623	0	20	20	0	19
4930470H14Rik	chr17:4081830-4082995	23	25	48	0.479167	154
4930486L24Rik	chr13:60844309-60844426	0	11	11	0	35
4930500J02Rik	chr2:104567861-104568230	179	194	373	0.479893	281
4930503L19Rik	chr18:70467759-70468517	49	35	84	0.583333	114
