Chromosomes	Start	End	Genes	halftime	Strand	RPKM	initial_ratio	RSS
chrX	70385876	70389417	1110012L19Rik	0.560664113179025	+	13.8452957528861	0.53536	0.638491132730478
chrX	53742900	53757831	1700013H16Rik	1.05832754325561	-	42.3181186369897	0.303077	0.998136381700282
chrX	12654878	12673668	1810030O07Rik	3.46573590279973	-	23.6207455930137	0.5044695	0.759118286126599
chrX	13234640	13247736	2010308F09Rik	3.20135137433194	-	0.678887788446021	0.508433	0.710470720651451
chrX	153723589	153741920	2210013O21Rik	0.389233429252987	+	10.7262181620489	0.6096545	0.488703054637592
chrX	108833799	108974906	2810403D21Rik	3.34731633213351	+	4.0737884657853	0.609213	0.839768168443425
chrX	103182970	103311782	4930519F16Rik	0.439927620502573	-	7.24626145326235	0.5029575	0.327091686514309
chrX	75706931	75764699	4933407K13Rik	0.16535151681931	-	4.87714939674339	0.6997615	0.705839312859981
chrX	105037196	105079609	5530601H04Rik	0.796922059380061	-	9.96607067576513	0.4936215	0.569046050720294
chrX	13042014	13045297	5730405O15Rik	3.02812194798521	+	17.3089882547347	0.4924755	1.20189005946465
chrX	20961683	20986737	A230072C01Rik	0.709946159033876	+	37.0256499996551	0.525041	0.611503752981936
chrX	151291973	151344846	A230072E10Rik	0.479495437567534	-	1.44098665025881	0.326923	0.732258337946036
chrX	159526687	159593081	A830080D01Rik	1.38371634616219	+	13.4129065002273	0.5696285	0.204088903222662
chrX	104280656	104413856	Abcb7	0.362472992732904	-	4.66686901150856	0.5400265	0.247237432919424
chrX	73716596	73738534	Abcd1	0.928578860032279	+	12.7803136483593	0.4763865	1.02452903927502
chrX	155262442	155297654	Acot9	0.482456238995291	+	10.0822956328887	0.5316625	0.457347755372059
chrX	142317992	142390535	Acsl4	0.703915745326852	-	3.03925447185119	0.338576	0.705676918414858
chrX	160390689	160498070	Adgrg2	3.46573590279973	+	0.118367009917986	0.22609	1.48255684085617
chrX	48474943	48513563	Aifm1	0.415552846092826	-	10.7509561211206	0.6179685	0.575146076916427
chrX	144317803	144374450	Alg13	0.58956392080372	+	28.6245491221287	0.546877	0.26975319409781
chrX	95420317	95444872	Amer1	0.270998253064924	-	8.28278423140311	0.5275315	0.97053547586163
chrX	142851145	142966728	Ammecr1	0.616159414052024	-	6.32396506808604	0.432965	0.439956472752562
chrX	150519518	150589868	Apex2	0.518404636393246	-	6.2252127744187	0.5457275	0.50432453337457
chrX	94367116	94417093	Apoo	0.874817166774913	+	16.5910563244989	0.457145	0.223146005110208
chrX	20797813	20860519	Araf	2.60536238993446	+	18.5703329579663	0.4659845	0.515004871390957
chrX	73891441	73921870	Arhgap4	1.07766032710692	-	4.06183254918362	0.5676725	0.227367740254539
chrX	134717962	134721917	Armcx1	0.380318397261449	+	27.0790420245225	0.552186	0.667928560282216
chrX	134686518	134696757	Armcx4	0.330927544332501	+	22.7817367939929	0.5440655	0.537147933055576
