chr	start	gene	A	BC	WT
chrX	6047506	Nudt11	-1.05221436579053	-1.72848020903552	-2.63246931299442
chrX	6081217	AU022751	-1.21717996720291	-0.592183321139258	-0.784299533125295
chrX	6168695	Nudt10	-1.41445650905885	-2.13311414945078	-2.19797725811038
chrX	6400031	Shroom4	-0.721278258159154	-0.877492637598311	-1.63496870606749
chrX	6873483	Dgkk	-1.78229785585866	-1.45763990584692	-2.16002701680516
chrX	7158411	Clcn5	-1.23428760920731	-1.58053415845159	-2.41544431121953
chrX	7372590	Usp27x	-0.431413392424181	-1.67865936998108	-1.8924051288557
chrX	7411816	2010204K13Rik	0.178825022845275	-1.95480423694233	-1.51211060871542
chrX	7558561	Ppp1r3f	0.0702367479100496	-0.424495381890591	-0.530233133378284
chrX	7593808	Ccdc22	-0.0121121126526573	-0.680018784743614	-0.780379573140197
chrX	7638579	Syp	-0.556185709008974	-1.38948356663265	-1.74810123453726
chrX	7657378	Prickle3	-0.079921719986066	-2.28800934637486	-1.96554183260299
chrX	7667940	Plp2	0.027434849145693	-1.71843006636282	-1.84982423456128
chrX	7697133	Gpkow	-0.156783983110093	-1.28510975080102	-1.61139919942414
chrX	7722219	Wdr45	0.0980053653335916	-0.657670028836465	-1.46365680376104
chrX	7728570	Praf2	0.0267494410815624	-1.10250720848754	-0.796039520197088
chrX	7731713	Ccdc120	-0.0516233552804917	-0.668336698071227	-0.935953295708545
chrX	7762660	Tfe3	-0.0374302775591868	-1.25158897960897	-1.08368809613937
chrX	7789992	Gripap1	-0.178782211551906	-0.814807599428789	-1.37999896889105
chrX	7823758	Kcnd1	-0.198744399178411	-0.688617413258519	-0.784562355385961
chrX	7841830	Otud5	0.0413537658994759	-0.905712125756586	-0.940013886966806
chrX	7878305	Pim2	0.169584259962307	-2.18151122872113	-1.76476679048209
chrX	7884243	Slc35a2	-0.411986275457853	-0.565038090544898	-0.795848776732168
chrX	7894518	Pqbp1	0.310732697281333	-0.713591959638912	-0.784758155250048
chrX	7899335	Timm17b	0.2333622497445	-0.507018391502717	-0.209291950999871
chrX	7919821	Pcsk1n	0.0881707095078159	0.0808196715640186	0.992374577747315
chrX	7924275	Eras	0.39984920293031	0.554406352267555	1.3308102237939
chrX	7930121	Hdac6	-0.198020095603243	0.052665895100757	-0.0685346745130769
chrX	8004200	Glod5	1.11081091519729	-0.0769593324080497	-0.968080045976459
chrX	8061170	Suv39h1	-0.201171971059722	-0.607156539295067	-0.571611824924259
chrX	8123300	Wdr13	-0.0323059984620011	-0.208869668100787	-0.237564743314529
chrX	8138974	Rbm3	0.358055416096483	-0.97324647576318	-1.05826606077543
chrX	8145426	Rbm3os	-1.21358501324872	-0.359765346511389	-1.30822162062198
chrX	8154471	Tbc1d25	0.0336151064415525	-0.656665365276271	-1.20786989435769
chrX	8185328	Ebp	0.57676030021775	-2.00238870629402	-2.15697669810357
chrX	8193845	Porcn	0.586073641668503	-0.4984088047181	-0.533904707696105
chrX	8238667	Ftsj1	0.241375389773426	-1.22365527343284	-0.807578655516354
chrX	9272783	Xk	-0.944756326886007	-0.947125108122742	-1.12828797177812
chrX	9654269	Dynlt3	-0.353337285915823	-0.0804514257580996	-0.600679479351658
chrX	10158215	Rpgr	-0.0596180220816704	-0.237557788526758	-0.430283401366674
chrX	10485115	Tspan7	-1.1118274087803	-2.02159423797552	-2.5828058656462
chrX	10717364	Mid1ip1	0.208406341188726	-2.2663964110123	-2.03963361085954
chrX	12036737	Bcor	-0.347031788593295	-0.303708166438254	-0.402615673788178
chrX	12587758	Atp6ap2	-0.136372135796601	-0.278263923963206	-0.630930615093534
chrX	12651882	Gm4984	1.50991407223309	-0.800894844279809	0.558137381279001
chrX	12654880	1810030O07Rik	-0.0339993925113541	-0.114653463653416	-0.579139019412439
chrX	12675370	Med14	-0.33186474220763	-1.55113717243661	-1.72321450907465
chrX	12936872	AA414768	-0.197715038596158	-0.117429319448158	-2.05657881802733
chrX	13071497	Usp9x	-0.246758264733274	-0.777343302729852	-0.992792168931896
chrX	13281021	Ddx3x	-0.109981966926063	-0.502697292834777	-0.653202473440636
chrX	13517080	Cask	-0.155563679425354	-1.77297644052633	-2.36029687424288
chrX	16619697	Maoa	-0.165679812379312	-1.28637174383519	-1.29778226494006
chrX	16709280	Maob	-0.420469516569756	-1.89642651493303	-4.31321150470899
chrX	17132048	Efhc2	0.0377956672169334	0.522389015780206	-0.461593635969855
chrX	17555599	Fundc1	-0.0450021935098419	-1.42335481613375	-1.49311057095996
chrX	18162574	Kdm6a	-0.425441232567109	0.30920770237538	0.0556434987362025
chrX	20059569	Chst7	0.0562156347923751	-1.36689103581598	-2.22481561636743
chrX	20105754	Slc9a7	-0.818011853902818	-0.776196837631916	-2.22906900145219
chrX	20364480	Rp2	-0.483424263760807	-1.48445530964635	-2.60900950972839
chrX	20425687	Jade3	-0.208877108430782	-1.03121317264616	-1.51886641880749
chrX	20615325	Ndufb11	0.243337278738099	-0.746797355253043	-0.735897093410881
chrX	20617502	Rbm10	0.0618651038489753	-1.12416568495719	-1.20029454435615
chrX	20658301	Uba1	-0.032490399350264	-0.380996095306741	-0.352231848483383
chrX	20687953	Cdk16	0.160970169010543	-0.794135168347349	-0.986671331023335
chrX	20703908	Usp11	0.221639018637069	0.797549517145955	0.619468284242327
chrX	20848542	Araf	-0.104055780612597	-0.116715909779957	-0.635256036867044
chrX	20860510	Syn1	-0.113078354870059	-0.619934833094546	-0.207422231300097
chrX	20870165	Timp1	-0.153844217287207	-0.600616312046816	-0.430308832663961
chrX	20925453	Cfp	-0.0797158046200965	-0.79645667046869	-1.0460960996716
chrX	20933394	Elk1	-0.349200178483904	-0.883873195687904	-0.56709181846566
chrX	20951664	Uxt	0.0855090308970925	-1.78444971531536	-1.03691135777067
chrX	20961675	A230072C01Rik	-0.0367893500830274	-1.48493250438267	-1.82774050248875
chrX	21026183	Zfp182	-0.502366622730741	-0.753295904902936	-1.49435633382375
chrX	21360864	Gm5124	-1.3515120056777	-2.15403377460103	-1.88951924707146
chrX	23219270	Klhl13	-0.102610054107008	0.581889010752461	-0.344353385410079
chrX	23693050	Wdr44	-0.53860295402786	-0.255473133622772	-1.01318301486261
chrX	35888831	Dock11	-0.956109371024803	-1.16800344868545	-2.89318283311322
chrX	36112107	Il13ra1	-1.67062448762097	-1.56436788202697	-3.48560415260099
chrX	36195903	Zcchc12	-1.08389439547552	-1.95850434933223	-2.85821859699875
chrX	36328408	Lonrf3	-1.64907100959221	-1.50456361116178	-1.91280235836382
chrX	36598192	Pgrmc1	-0.211693256177502	-0.996990380325579	-1.37227567846758
chrX	36608182	Akap17b	-0.942825096018248	-1.56350216522891	-1.17613396652105
chrX	36743631	Slc25a43	0.304765306718187	-1.25032696929993	-2.16599605386816
chrX	36795596	Slc25a5	0.204356665983619	-1.53816381136858	-1.09966702487075
chrX	36814767	Mdrl	0.84511672432816	-0.853975197712653	-1.38224636408577
chrX	36848543	C330007P06Rik	-0.0309158916345694	-1.10635850050834	-1.6494653867675
chrX	36874294	Ube2a	0.204293911784739	-0.96380700523317	-1.08455090251216
chrX	36887541	Nkrf	-0.169906881589798	-1.57746811668221	-1.60931517149785
chrX	36911271	Sept6	-0.396393878090372	-2.13644338859281	-2.54038454599636
chrX	37082517	Rpl39	0.225386583746576	-1.41284270932155	-1.43621638176959
chrX	37082911	Snora69	-0.0504145398330083	0.0684101236596215	-2.17696154215388
chrX	37091677	Upf3b	-0.17860389253533	-0.637811645735119	-1.0131360865439
chrX	37126762	Nkap	-0.0920416349694577	-0.741953505007808	-0.756342157471679
chrX	37187588	Ndufa1	-0.0125184076854449	-0.756271815769298	-0.789062229598959
chrX	37191221	Rnf113a1	-0.173693691739232	-1.16738838673287	-1.73943640626335
chrX	37208501	Gm9	-2.90415459265207	0.210254171380526	-0.0806416665777273
chrX	37213804	Rhox1	-2.05192456257362	1.38336913763926	0.740136335207845
chrX	37244991	Rhox2a	-1.10785333451852	2.155365643791	0.717370050350168
chrX	37754607	Rhox5	0.589484546587276	1.48631202774135	0.587393416908491
chrX	37827054	Rhox6	-0.492776925269285	1.7815907073591	1.00957573607103
chrX	37899096	Rhox9	-1.31466961185166	1.68459880379986	1.14742946600616
chrX	38120839	Rhox13	-0.586710289464571	0.440906254783594	-0.0638602851558278
chrX	38189792	Zbtb33	-0.597957861909235	-1.63052556598336	-2.12543193872369
chrX	38401356	Lamp2	0.000114666605847415	-1.15244823205427	-1.87653055279438
chrX	38531620	Cul4b	-0.0861769914996973	-1.52578270468215	-2.00592985884535
chrX	38600470	Mcts1	-0.143275235180674	-1.61806028792953	-1.95087662490022
chrX	38630782	C1galt1c1	0.0657863519095984	-2.44346035115318	-2.64372908778155
chrX	41401300	Gria3	-1.4298635357357	-1.29503655301649	-2.1362885785228
chrX	41794993	Thoc2	-0.35634370764244	-1.34952747433238	-1.68298839917756
chrX	42067835	Xiap	-0.379569825362317	-1.21428819177869	-1.68192142121783
chrX	42149411	Stag2	-0.141541540162412	-1.9901529648193	-2.25315177828407
chrX	44786566	Dcaf12l1	-1.01633315222869	-0.997951071545619	-1.14845405817442
chrX	47809369	Smarca1	-1.4919837770406	-3.65579541221046	-4.12567653825849
chrX	47912455	Ocrl	-0.945733143555204	-1.59664655242972	-2.26579325840261
