gene	coord	228minus1_CAST	228minus1_129S1	228minus1_total	228minus1_CAST/all	228minus1_htseqCount
0610007P14Rik	chr12:85824471-85824545	299	154	453	0.660044	949
0610009B22Rik	chr11:51685385-51686092	9	11	20	0.45	104
0610009O20Rik	chr18:38261880-38262629	140	112	252	0.555556	306
0610010F05Rik	chr11:23620229-23620467	8	10	18	0.444444	97
0610030E20Rik	chr6:72348997-72353160	12	17	29	0.413793	156
0610031J06Rik	chr3:88328203-88328631	20	22	42	0.47619	250
0610037L13Rik	chr4:107896871-107897802	48	36	84	0.571429	216
0610039K10Rik	chr2:163644850-163645800	9	4	13	0.692308	6
1110001J03Rik	chr6:38539159-38539449	30	35	65	0.461538	104
1110004E09Rik	chr16:90934582-90934849	46	29	75	0.613333	260
1110004F10Rik	chr7:116104212-116105210	59	57	116	0.508621	630
1110007C09Rik	chr13:49208004-49208146	15	30	45	0.333333	216
1110008F13Rik	chr2:156873043-156873562	29	32	61	0.47541	263
1110008L16Rik	chr12:55382257-55382491	167	33	200	0.835	353
1110012L19Rik	chrX:70388872-70389416	83	51	134	0.619403	213
1110034G24Rik	chr2:132750213-132751055	33	39	72	0.458333	49
1110037F02Rik	chr4:11549545-11551143	94	88	182	0.516484	292
1110038B12Rik	chr17:34952352-34952471	686	631	1317	0.520881	828
1110038F14Rik	chr15:76950249-76950731	62	51	113	0.548673	91
1110057K04Rik	chr12:8275808-8276223	13	5	18	0.722222	96
1110058L19Rik	chr1:24003157-24003306	40	20	60	0.666667	72
1110059E24Rik	chr19:21597313-21598334	28	13	41	0.682927	308
1190002N15Rik	chr9:94517864-94520646	52	40	92	0.565217	217
1190005I06Rik	chr8:120634268-120634382	22	14	36	0.611111	43
1190007I07Rik	chr10:82622965-82623228	18	37	55	0.327273	133
1500009L16Rik	chr10:83761918-83762762	27	44	71	0.380282	119
1500011B03Rik	chr5:114813780-114813976	38	27	65	0.584615	108
1500012F01Rik	chr2:167065434-167065480	323	212	535	0.603738	1579
1500015A07Rik	chr18:61726390-61728253	7	8	15	0.466667	45
1600002H07Rik	chr17:24219731-24220133	25	44	69	0.362319	140
1600012H06Rik	chr17:14943184-14945939	9	4	13	0.692308	177
1700007K13Rik	chr2:28466034-28466324	16	14	30	0.533333	89
1700013H16Rik	chrX:53751510-53751856	74	27	101	0.732673	190
1700019D03Rik	chr1:52952615-52952840	26	143	169	0.153846	148
1700020I14Rik	chr2:119599588-119600744	13	8	21	0.619048	206
1700021F05Rik	chr10:43532676-43533157	43	50	93	0.462366	135
1700021K19Rik	chr16:32847830-32847989	11	11	22	0.5	136
1700025G04Rik	chr1:152006545-152006767	20	8	28	0.714286	98
1700026D08Rik	chr7:83794742-83794839	21	6	27	0.777778	70
1700029P11Rik	chr15:81980540-81981563	9	25	34	0.264706	75
1700030C10Rik	chr12:20815346-20815779	40	2	42	0.952381	35
1700030K09Rik	chr8:72460029-72460541	59	18	77	0.766234	173
1700037H04Rik	chr2:131146325-131146975	104	76	180	0.577778	626
1700052N19Rik	chr10:4453472-4455140	79	99	178	0.44382	226
1700066M21Rik	chr1:57382743-57385422	8	10	18	0.444444	100
1700095A21Rik	chr4:146519039-146519927	8	0	8	1	10
1700120C14Rik	chr15:99251788-99252001	15	3	18	0.833333	0
1700123O20Rik	chr14:54689804-54690742	37	20	57	0.649123	103
1810009A15Rik	chr19:8890411-8890759	42	75	117	0.358974	9
1810013L24Rik	chr16:8855794-8858924	23	24	47	0.489362	360
1810026B05Rik	chr7:73549597-73549652	23	33	56	0.410714	191
1810030O07Rik	chrX:12669527-12669646	10	89	99	0.10101	161
1810032O08Rik	chr11:116674300-116675798	81	119	200	0.405	198
1810037I17Rik	chr3:122925479-122926194	125	187	312	0.400641	678
1810043H04Rik	chr11:120100174-120100424	8	9	17	0.470588	54
1810058I24Rik	chr6:35261159-35262059	33	24	57	0.578947	232
2010107E04Rik	chr12:111963230-111963353	370	172	542	0.682657	1495
2010107G23Rik	chr10:62107656-62109123	59	17	76	0.776316	172
2010315B03Rik	chr9:124291804-124294101	2	22	24	0.0833333	21
2200002D01Rik	chr7:29247897-29247965	5	6	11	0.454545	16
2210011C24Rik	chr8:84011141-84011720	13	8	21	0.619048	35
2210013O21Rik	chrX:153723554-153723937	18	25	43	0.418605	256
2210015D19Rik	chr11:5780206-5780635	28	39	67	0.41791	37
2210016F16Rik	chr13:58384824-58385225	7	28	35	0.2	79
2210016L21Rik	chr5:114947682-114948540	37	24	61	0.606557	190
2210018M11Rik	chr7:98594752-98595312	34	22	56	0.607143	170
2210039B01Rik	chr12:73551156-73551986	44	10	54	0.814815	15
2210409E12Rik	chr11:88972638-88973014	147	25	172	0.854651	177
